,Rank,Team,Active Players,Forwards,Midfielders,Defensemen,Goalkeepers,Transfer Fees,Est. Total Salary
0,1,Fulham ,15,"£8,580,000","£13,104,000","£15,340,000","£6,240,000","£6,660,000","£43,264,000"
1,2,Arsenal ,28,"£47,287,273","£23,630,000","£38,050,000","£9,100,000","£94,600,000","£131,899,273"
2,3,Aston Villa ,24,"£12,116,000","£20,929,396","£16,016,000","£5,044,000","£90,590,000","£55,145,396"
3,4,Chelsea ,25,"£39,088,000","£48,450,000","£45,084,000","£12,584,000","£250,420,000","£145,206,000"
4,5,Everton ,23,"£21,580,000","£27,415,000","£27,608,000","£6,720,000","£109,560,000","£84,051,000"
5,6,Liverpool ,31,"£32,780,000","£52,494,000","£39,240,000","£8,340,000","£97,097,000","£132,854,000"
6,7,Manchester City ,25,"£34,647,000","£57,884,000","£39,526,000","£7,072,000","£156,530,000","£139,129,000"
7,8,Manchester United ,27,"£45,540,000","£54,860,000","£47,475,000","£29,900,000","£59,400,000","£179,855,000"
8,9,Newcastle United ,29,"£15,081,000","£20,129,600","£17,079,600","£3,876,000","£63,150,000","£56,946,200"
9,10,Southampton ,24,"£9,960,000","£18,710,000","£13,632,000","£7,340,000","£44,330,000","£49,642,000"
10,11,Tottenham Hotspur ,27,"£56,840,000","£39,215,200","£25,020,000","£8,100,000","£118,250,000","£129,175,200"
11,12,West Bromwich Albion ,17,"£1,560,000","£9,038,400","£8,682,000","£1,690,000","£14,850,000","£22,486,200"
12,13,Burnley ,23,"£8,320,000","£12,168,000","£13,410,000","£2,620,000","£1,210,000","£36,518,000"
13,14,Crystal Palace,29,"£26,165,000","£21,892,000","£27,480,000","£8,972,000","£20,790,000","£87,759,000"
14,15,Leicester City,27,"£12,740,000","£26,848,000","£22,257,000","£8,996,000","£61,600,000","£74,351,000"
15,16,Brighton & Hove Albion,31,"£9,776,000","£24,042,000","£10,566,000","£1,769,333","£29,150,000","£46,153,333"
16,17,Leeds United ,29,"£9,162,000","£6,128,200","£7,576,800","£2,528,000","£98,120,000","£25,766,800"
17,18,Sheffield United ,27,"£6,351,600","£3,998,400","£6,617,800","£2,741,000","£51,150,000","£19,708,800"
18,19,Wolves ,24,"£11,140,000","£16,822,000","£18,772,000","£5,500,000","£89,980,000","£52,234,000"
19,20,West Ham United ,25,"£21,820,000","£17,296,000","£19,764,000","£5,480,000","£51,590,000","£68,400,000"
